Tên thực phẩm chức năng,Giá tiền,Cách dùng,Chống chỉ định,Liều dùng,Vitamin C,Canxi,Vitamin D3,Sắt,Kẽm,Vitamin E,Omega-3,Biotin,Lợi khuẩn,Protein,Thành phần đặc biệt khác,Vitamin A,Chức năng sản phẩm,Quy cách đóng gói,Đối tượng sử dụng,Dạng bào chế
Blackmores Fish Oil 1000mg,450.000 VNĐ,Uống sau bữa ăn,Người dị ứng với cá,2 viên/ngày,,,,,,,1000mg,,,,,,Hỗ trợ tim mạch não bộ thị lực,400 viên/hộp,Người trưởng thành,Viên nang mềm
Kirkland Signature Fish Oil 1000mg,550.000 VNĐ,Uống sau bữa ăn,Người dị ứng với cá,2 viên/ngày,,,,,,,1000mg,,,,,,Hỗ trợ tim mạch não bộ thị lực,400 viên/hộp,Người trưởng thành,Viên nang mềm
Healthy Care Fish Oil 1000mg,350.000 VNĐ,Uống sau bữa ăn,Người dị ứng với cá,3 viên/ngày,,,,,,,1000mg,,,,,,Hỗ trợ tim mạch não bộ thị lực,400 viên/hộp,Người trưởng thành,Viên nang mềm
DHC Vitamin C 60 Days,150.000 VNĐ,Uống sau bữa ăn sáng,Người bị sỏi thận loét dạ dày,2 viên/ngày,1000mg,,,,,,,,,,,,Tăng cường miễn dịch làm sáng da,120 viên/gói,Người trưởng thành,Viên nhộng
Blackmores Bio C 1000mg,350.000 VNĐ,Uống sau bữa ăn sáng,Người bị sỏi thận loét dạ dày,1 viên/ngày,1000mg,,,,,,,,,,,,Tăng cường miễn dịch làm sáng da,150 viên/hộp,Người trưởng thành,Viên nén
Kirkland Vitamin C 1000mg,450.000 VNĐ,Uống sau bữa ăn sáng,Người bị sỏi thận loét dạ dày,1 viên/ngày,1000mg,,,,,,,,,,,,Tăng cường miễn dịch làm sáng da,500 viên/hộp,Người trưởng thành,Viên nén
Ostelin Calcium & Vitamin D3,300.000 VNĐ,Uống vào buổi sáng sau ăn,Người bị sỏi thận tăng canxi huyết,2 viên/ngày,,600mg,500 IU,,,,,,,,,,Giúp xương răng chắc khỏe,130 viên/hộp,Người trưởng thành,Viên nén
Kirkland Calcium 600mg + D3,400.000 VNĐ,Uống vào buổi sáng sau ăn,Người bị sỏi thận tăng canxi huyết,2 viên/ngày,,600mg,400 IU,,,,,,,,,,Giúp xương răng chắc khỏe,500 viên/hộp,Người trưởng thành,Viên nén
Blackmores Total Calcium Magnesium + D3,450.000 VNĐ,Uống vào buổi sáng sau ăn,Người bị sỏi thận tăng canxi huyết,3 viên/ngày,,229mg,200 IU,,,,,,,,Magnesium 115mg,,Giúp xương răng chắc khỏe,200 viên/hộp,Người trưởng thành,Viên nén
Shiseido The Collagen Drink,850.000 VNĐ,Uống trước khi đi ngủ,Người bị u xơ dị ứng thành phần,1 chai/ngày,,,,,,,,,,,1000mg Collagen Peptide,,Chống lão hóa làm đẹp da,10 chai/hộp,Phụ nữ trên 25 tuổi,Nước
Youtheory Collagen Type 1 2 & 3,650.000 VNĐ,Uống trước bữa ăn,Người bị u xơ dị ứng thành phần,6 viên/ngày,90mg,,,,,,,,,,6000mg Collagen,,Chống lão hóa làm đẹp da,390 viên/hộp,Phụ nữ trên 25 tuổi,Viên nén
Neocell Super Collagen + C,550.000 VNĐ,Uống trước bữa ăn,Người bị u xơ dị ứng thành phần,6 viên/ngày,60mg,,,,,,,,,,6000mg Collagen,,Chống lão hóa làm đẹp da,250 viên/hộp,Phụ nữ trên 25 tuổi,Viên nén
Kirkland Glucosamine HCL 1500mg,650.000 VNĐ,Uống cùng hoặc sau bữa ăn,Người dị ứng hải sản,2 viên/ngày,,,,,,,,,,,1500mg Glucosamine,,Hỗ trợ sụn khớp giảm đau xương khớp,375 viên/hộp,Người cao tuổi,Viên nén
